A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
0,0,20,3,9,156,5,8,53,3,7,0,10,15,0,205,286,26,
0,0,21,5,10,159,4,8,54,4,11,0,11,15,0,215,294,23,
0,0,20,6,8,155,4,7,54,4,9,0,12,16,1,217,300,24,
0,0,24,5,8,156,4,9,54,4,7,0,12,17,0,220,303,20,
0,1,24,4,8,158,4,10,55,3,9,0,11,17,0,221,308,23,
0,1,26,5,12,159,5,11,54,4,9,0,13,18,1,227,311,23,
0,0,27,5,10,162,4,11,56,4,10,0,12,16,0,226,312,23,
1,0,29,6,12,164,5,11,57,4,9,0,12,17,0,230,315,25,
0,0,29,8,11,165,6,11,57,5,10,0,13,18,0,232,316,27,
1,0,29,4,12,164,5,11,55,5,11,0,12,17,0,232,317,27,
0,0,30,4,9,167,5,8,55,4,10,0,13,19,1,232,317,27,
0,0,29,5,11,167,5,10,55,4,10,0,12,18,0,233,318,26,
0,1,29,4,9,168,6,8,55,5,11,0,13,19,0,231,321,27,
0,0,26,5,10,167,4,10,55,3,11,0,13,19,1,229,320,24,
0,0,24,5,11,165,5,10,56,4,10,0,12,19,1,229,323,27,
0,0,20,4,10,163,5,10,55,5,6,0,13,19,0,227,318,20,
0,0,12,6,10,153,5,6,54,2,5,0,11,16,0,229,309,20,
0,0,10,5,9,144,6,10,53,2,5,0,12,17,0,226,308,21,
0,0,13,5,11,151,3,10,53,2,6,0,12,17,0,222,296,18,
0,0,11,3,11,144,3,11,53,3,6,0,12,16,0,211,297,20,
0,0,8,3,9,131,4,10,51,2,5,0,10,16,0,198,305,22,
0,0,9,3,8,124,3,10,50,2,7,0,8,16,0,192,304,23,
0,0,8,4,9,123,4,11,50,3,7,0,10,16,1,192,307,23,
0,0,9,4,9,120,3,11,50,2,9,0,8,16,0,190,311,24,
0,0,8,5,6,114,5,11,50,2,9,0,8,16,0,182,314,25,
0,0,6,2,6,107,3,9,50,2,8,0,8,15,0,176,316,25,
0,0,4,3,7,100,3,12,47,2,7,0,7,14,0,176,313,25,
0,0,2,3,7,93,4,13,44,2,8,0,6,13,0,165,310,25,
0,0,2,4,6,85,4,12,44,3,9,0,5,12,0,161,303,23,
0,0,3,2,5,73,4,10,41,1,8,0,4,10,0,153,296,25,
0,0,2,1,5,64,4,12,39,3,9,0,5,10,0,146,287,19,
0,0,2,0,3,52,3,11,38,3,10,0,3,7,0,149,273,19,
0,0,4,1,4,52,4,16,38,4,9,0,4,8,0,152,259,16,
0,0,3,0,7,49,4,20,39,3,10,0,4,6,0,147,247,13,
0,0,3,0,4,32,4,15,33,3,10,0,1,3,0,132,220,12,
0,0,0,0,1,8,0,13,24,3,8,0,0,1,0,121,188,8,
0,0,0,0,0,0,0,8,18,2,9,0,0,0,0,102,154,8,
0,0,0,0,0,0,0,3,14,2,5,0,0,0,0,76,110,6,
0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,49,64,3,
0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,20,41,4,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10,2,
0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,
0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,
1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,
1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,
0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,
0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,
0,0,0,0,0,2,3,0,6,0,0,0,0,0,0,0,5,0,
0,0,0,0,2,13,4,2,8,0,0,0,0,0,0,0,13,13,
1,7,21,2,20,25,4,10,8,0,0,1,0,0,0,0,32,36,
2,35,52,4,43,46,6,16,12,0,16,38,0,0,2,0,41,47,
1,56,78,4,63,67,3,22,19,0,28,63,0,2,6,1,56,65,
2,71,102,6,80,91,6,28,26,0,35,79,0,6,9,5,74,82,
2,79,120,5,91,109,6,32,32,0,40,87,0,7,11,3,89,98,
2,84,125,4,100,119,6,37,39,1,43,94,0,8,13,14,102,106,
1,85,138,4,106,127,8,41,45,4,48,96,1,10,14,34,117,119,
0,80,139,4,107,133,6,44,48,3,49,98,1,10,15,35,129,130,
2,74,140,5,101,137,6,44,49,6,53,98,1,12,16,44,138,136,
2,72,149,7,99,143,7,46,54,7,55,98,1,12,16,42,146,141,
2,65,156,5,90,145,6,45,54,6,59,98,0,12,16,46,151,145,
2,60,161,5,84,146,6,43,55,8,59,105,1,13,17,52,155,152,
2,65,171,4,84,149,6,43,55,10,63,108,2,13,16,57,162,156,
2,60,173,5,84,150,7,44,55,9,65,109,2,14,17,64,168,158,
2,64,174,5,87,152,5,42,56,12,67,112,3,14,18,68,169,160,
3,64,178,6,83,155,6,42,57,13,68,113,3,13,20,74,170,159,
3,67,185,6,85,155,7,43,59,13,71,116,4,15,19,80,175,161,
2,68,189,6,81,154,7,42,57,14,72,119,5,16,21,88,176,163,
4,65,194,8,77,156,7,43,60,16,73,119,4,15,19,90,179,167,
3,68,199,7,80,157,7,43,61,16,76,121,4,17,19,91,180,166,
3,66,196,6,81,157,7,44,61,17,76,124,4,15,20,95,182,167,
3,62,197,4,78,157,7,45,61,15,77,124,4,16,20,95,184,169,
3,61,201,6,75,157,7,41,61,18,78,124,4,16,20,98,185,170,
4,59,199,8,76,156,8,41,62,19,77,124,5,16,21,101,185,170,
4,64,200,8,78,159,7,44,63,19,79,126,6,17,20,103,187,173,
4,63,205,7,79,156,7,42,62,19,78,122,6,17,20,106,187,174,
3,62,204,7,76,158,8,44,62,19,77,121,5,17,21,109,189,177,
4,63,203,8,75,157,9,44,63,19,76,117,6,16,21,110,190,175,
4,67,208,8,79,158,9,47,64,19,76,118,8,18,19,112,193,176,
5,65,202,8,78,158,9,47,63,21,77,117,7,16,22,114,192,174,
2,64,205,9,81,159,8,50,64,19,77,120,6,17,20,115,194,177,
5,63,209,9,81,157,6,48,64,20,77,120,7,18,21,114,197,177,
5,62,208,9,79,157,9,48,64,21,79,123,7,17,23,116,199,181,
5,64,205,9,82,159,7,44,64,19,78,123,7,18,23,113,199,179,
4,63,209,10,84,160,7,48,66,21,80,124,8,19,23,117,198,180,
3,64,202,10,84,159,9,47,65,22,80,125,8,18,21,117,200,183,
4,59,188,9,82,159,9,46,64,21,79,123,6,17,21,117,200,183,
2,57,189,8,82,160,8,44,64,22,80,121,7,18,21,117,201,181,
2,53,174,5,84,159,7,45,61,19,79,120,7,18,21,111,199,179,
3,50,174,9,83,159,6,47,63,17,78,114,6,17,20,103,199,177,
3,57,185,7,85,162,7,45,64,19,73,107,7,19,20,114,200,177,
2,60,188,6,88,163,7,49,65,17,73,109,6,17,21,108,197,174,
3,62,191,7,92,163,9,51,66,18,75,109,8,18,21,107,199,174,
4,67,192,9,94,164,8,53,66,17,72,104,6,19,21,111,198,173,
3,64,180,8,93,162,10,51,64,17,70,104,7,18,21,109,197,174,
3,61,177,9,92,161,8,51,64,16,71,103,6,18,20,104,195,171,
4,62,177,9,90,160,10,51,63,16,70,99,5,18,18,100,193,170,
4,56,170,9,91,159,9,48,61,15,68,95,7,16,19,104,193,170,
3,56,167,8,88,158,9,48,60,15,63,90,7,17,18,106,191,167,
4,57,163,8,90,157,10,45,60,16,63,89,6,16,18,110,189,166,
4,57,163,7,93,155,9,45,58,15,63,86,6,16,16,110,188,165,
4,53,154,9,88,153,8,47,58,13,60,83,6,16,16,104,187,164,
3,55,155,9,89,154,10,45,60,14,62,84,6,15,16,108,188,164,
4,57,162,6,90,157,8,45,58,16,62,82,6,16,17,110,190,161,
2,63,164,7,93,158,7,44,60,15,61,84,7,14,17,112,188,165,
4,63,169,8,94,156,8,46,60,16,60,84,7,16,17,111,187,162,
4,62,169,7,94,154,8,46,59,17,61,86,6,14,17,112,186,164,
2,60,160,6,93,153,8,46,59,15,61,85,6,15,16,110,184,164,
3,52,147,6,87,149,9,45,57,14,59,84,5,15,17,98,182,161,
4,50,143,7,84,146,9,46,57,12,59,84,4,14,15,97,181,159,
2,52,144,9,88,145,8,45,56,13,58,81,5,15,15,104,178,158,
4,55,148,7,89,147,9,47,57,14,54,72,7,15,14,106,176,155,
4,56,153,7,90,147,9,46,56,14,53,67,7,14,14,109,174,148,
3,58,154,6,90,143,9,47,55,14,50,64,6,13,13,106,171,149,
3,59,156,8,91,142,9,46,55,13,49,60,5,12,13,102,169,144,
4,56,146,6,89,139,9,44,53,10,46,58,5,11,10,89,167,144,
2,51,144,7,84,138,9,43,53,10,45,58,4,12,12,83,166,145,
2,53,141,8,85,138,9,42,51,9,46,59,4,13,12,85,168,144,
4,52,142,7,85,137,9,42,51,10,46,59,6,12,13,88,164,140,
3,54,145,7,87,134,10,43,52,11,45,59,4,13,13,88,161,141,
3,54,144,8,84,133,10,44,53,9,42,50,5,10,11,86,158,137,
4,54,141,7,85,130,9,44,50,8,38,46,5,10,11,84,152,131,
4,53,134,4,83,129,9,43,48,8,38,46,4,9,8,75,148,127,
1,50,126,5,80,126,8,40,46,6,33,38,2,9,8,71,143,123,
2,50,129,5,80,127,8,43,47,6,33,40,2,9,8,65,139,121,
2,55,131,6,81,126,9,41,46,6,36,41,3,9,8,66,139,120,
2,57,129,6,82,125,8,43,46,6,34,41,4,9,7,68,135,119,
