A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
11,20,12,1,2,2,5,6,2,0,6,1,0,0,0,0,53,18,
11,22,12,0,3,1,5,6,3,0,5,0,0,0,0,0,54,17,
10,21,12,0,2,1,4,7,3,0,5,0,0,0,0,0,55,18,
11,21,13,2,2,1,4,6,4,0,4,1,0,0,0,0,52,16,
11,23,13,1,3,1,6,9,5,0,5,1,0,0,0,0,51,15,
10,22,13,0,2,1,7,6,3,0,5,1,0,0,0,0,49,13,
10,21,12,1,1,1,5,8,4,0,5,0,0,0,0,0,40,12,
10,20,11,1,3,2,6,8,4,0,4,1,0,0,0,0,38,13,
9,18,10,0,1,0,5,6,3,0,4,0,0,0,0,0,35,9,
9,16,11,0,2,1,5,6,4,0,3,0,0,0,0,0,28,5,
9,10,10,1,0,1,4,3,3,0,1,0,0,0,0,0,22,5,
3,5,7,0,0,1,2,2,2,0,3,0,0,0,0,0,14,1,
3,3,8,0,0,0,0,0,2,0,0,0,0,0,0,0,7,2,
4,3,10,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,
0,0,6,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,
1,1,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
2,0,7,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,
2,2,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
3,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
2,1,5,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,
1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,
3,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
1,1,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
2,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
2,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2,1,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
1,1,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
2,1,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
2,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,
3,2,6,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,
2,1,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2,1,6,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,
3,2,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
2,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
3,2,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
3,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
1,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,
2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
0,0,0,0,0,0,2,0,3,0,2,1,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,
0,0,0,0,0,0,1,1,5,0,4,0,0,0,0,0,4,0,
0,0,2,0,0,0,3,1,4,0,3,0,0,0,0,0,6,0,
1,1,2,0,0,0,3,1,3,0,3,0,0,0,0,0,9,2,
1,1,4,1,0,2,3,3,3,0,3,0,0,0,0,0,12,3,
2,3,2,0,0,0,3,3,5,0,3,0,0,0,0,0,15,5,
0,0,3,0,0,1,5,2,3,0,4,0,0,0,0,0,20,8,
2,2,6,0,0,0,4,3,4,0,4,0,0,0,0,0,25,9,
2,3,6,0,0,1,5,4,4,0,3,1,0,0,0,0,29,7,
2,4,8,1,1,0,5,3,4,0,2,0,0,0,0,0,33,11,
3,4,7,0,1,2,4,4,4,0,3,1,0,0,0,0,37,13,
2,5,8,0,1,1,4,4,3,0,4,1,0,0,0,0,40,14,
4,6,9,0,2,2,5,4,3,0,2,0,0,0,0,0,45,15,
3,7,9,0,1,2,5,5,4,0,4,0,0,0,0,0,49,13,
5,8,8,0,2,2,7,5,4,0,4,0,0,0,0,0,53,16,
5,9,9,2,2,1,6,5,4,0,3,0,0,0,0,0,56,16,
8,12,9,1,3,0,5,7,4,0,6,2,0,0,0,8,56,18,
5,13,9,0,1,1,5,7,5,0,4,0,0,0,0,8,58,17,
7,16,10,0,2,0,5,8,3,0,5,0,0,0,0,8,61,18,
