A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
23,97,107,17,41,45,10,24,21,19,53,22,1,3,1,74,83,40,
24,104,115,17,46,50,11,26,25,23,65,28,2,4,1,90,94,48,
24,115,124,20,54,57,11,32,29,25,77,32,1,8,1,97,106,58,
22,126,134,20,60,65,12,34,31,31,87,37,3,9,2,104,114,65,
23,133,146,20,65,72,14,36,35,34,95,42,3,10,5,107,123,68,
24,138,149,22,67,75,12,37,36,35,94,41,4,10,4,111,126,71,
22,124,138,20,65,68,13,37,35,32,75,33,4,7,4,107,119,65,
19,114,126,18,59,64,12,33,27,26,53,22,3,5,0,79,89,47,
16,92,103,15,44,40,8,20,15,13,26,14,0,0,0,45,58,28,
13,65,73,8,26,21,6,11,9,6,10,6,0,0,0,16,28,13,
13,43,44,6,15,13,4,8,7,0,5,1,0,0,0,0,12,4,
7,17,25,4,10,9,2,2,4,0,3,0,0,0,0,0,3,0,
5,7,9,3,7,6,1,1,2,0,1,0,0,0,0,0,1,0,
2,3,5,1,1,3,2,1,2,0,1,0,0,0,0,0,0,0,
3,2,4,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,
2,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,
1,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
0,0,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
0,0,2,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,
0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,
0,0,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,
2,2,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
2,3,5,0,0,0,1,1,2,0,2,0,0,0,0,0,1,0,
5,5,6,0,1,0,3,1,1,0,4,0,0,0,0,0,1,0,
5,8,7,0,1,1,3,2,2,0,3,1,0,0,0,0,2,1,
5,10,9,1,3,2,2,1,2,0,4,1,0,0,0,0,5,0,
5,10,12,3,2,4,2,2,1,0,2,1,0,0,0,0,5,2,
7,12,16,2,4,5,2,2,4,1,1,0,0,0,0,3,6,2,
7,14,17,2,4,5,4,3,4,1,4,3,0,0,0,3,9,4,
11,20,21,4,5,7,2,4,5,2,8,3,0,0,0,3,12,8,
11,27,29,3,9,9,4,5,6,3,8,5,0,0,0,5,16,11,
14,32,31,4,10,11,6,6,5,3,10,4,0,0,0,5,23,12,
14,38,36,6,12,11,4,7,6,5,16,9,0,0,0,9,29,18,
18,52,47,10,20,17,6,12,9,9,19,14,0,0,0,18,37,24,
21,63,56,16,27,24,8,13,12,14,25,19,0,0,0,34,52,35,
20,74,69,16,32,30,9,20,14,17,38,27,0,1,0,49,62,40,
23,89,77,18,43,37,8,26,19,21,49,30,1,3,1,64,74,46,
22,98,81,19,52,43,11,31,22,25,62,32,2,5,2,75,86,55,
20,103,86,18,58,48,11,34,23,27,67,33,2,6,2,86,95,60,
19,101,90,18,61,55,12,37,26,27,70,39,3,8,3,96,103,68,
17,105,96,21,66,56,11,41,27,29,68,37,2,6,3,101,109,71,
18,103,91,20,68,59,12,44,30,27,68,37,4,7,4,103,114,76,
16,100,93,20,70,61,12,46,30,29,62,39,5,6,4,107,119,79,
15,98,89,19,68,63,13,46,32,27,59,35,4,7,3,107,120,78,
12,81,74,15,63,57,11,42,27,21,45,25,3,5,2,97,110,71,
10,68,58,13,55,43,10,35,20,14,27,16,2,2,1,70,86,53,
8,41,42,7,36,29,7,24,13,4,13,8,0,0,0,36,53,29,
5,19,24,2,13,13,4,12,9,5,7,4,0,0,0,14,26,14,
2,6,11,1,4,6,1,8,6,0,3,2,0,0,0,8,11,5,
0,3,9,0,2,3,0,3,3,0,1,0,0,0,0,0,2,2,
0,0,4,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,
0,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,
3,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2,1,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
1,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,
2,0,6,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,
0,0,8,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,
1,0,6,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,
0,2,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,
1,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,
1,3,6,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,
2,5,6,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,
4,12,5,0,0,1,0,0,2,0,1,1,0,0,0,0,4,2,
5,11,6,1,1,1,2,3,1,0,2,1,0,0,0,0,3,3,
4,11,7,0,2,2,2,1,1,2,4,0,0,0,0,3,7,4,
5,11,8,2,3,3,1,3,2,2,5,1,0,0,0,4,8,5,
5,12,12,3,4,3,1,3,2,2,5,1,0,0,0,5,8,5,
4,15,14,3,6,6,2,3,4,2,3,2,0,0,0,6,9,5,
7,17,16,4,6,6,2,5,4,2,6,2,0,0,0,4,14,7,
8,18,19,4,9,8,3,5,5,2,5,2,0,0,0,6,16,10,
8,22,22,4,12,10,3,7,6,2,10,4,0,0,0,5,24,15,
9,27,28,6,17,15,4,10,8,3,10,6,0,0,0,8,30,17,
10,28,32,9,21,18,6,15,11,4,14,10,0,0,0,17,41,29,
12,41,36,14,32,26,8,18,11,8,17,13,0,0,0,46,55,38,
11,37,42,16,39,33,8,24,16,13,30,19,0,1,0,55,67,45,
11,46,50,18,46,38,9,28,20,18,46,25,2,3,0,74,77,47,
11,54,55,19,54,45,8,32,22,21,52,27,2,4,1,85,90,58,
9,57,57,19,60,49,8,33,24,25,58,29,2,5,2,93,101,62,
10,57,60,20,62,51,10,40,24,30,63,30,3,6,2,102,109,65,
9,62,66,19,68,55,11,42,27,26,69,31,4,7,3,103,116,68,
10,70,67,20,71,57,12,45,29,27,72,32,4,7,3,105,118,71,
8,75,71,21,74,58,11,47,30,28,72,33,5,8,3,108,123,72,
10,77,72,22,75,59,10,48,30,31,75,35,3,9,4,112,126,77,
11,80,76,22,77,61,12,49,32,31,75,36,5,8,4,114,126,76,
11,90,81,23,77,60,11,50,31,33,79,38,4,8,4,115,129,78,
13,94,91,24,77,61,13,53,34,35,88,41,6,11,5,114,133,81,
15,106,101,29,78,63,12,55,37,37,93,43,5,12,6,117,137,83,
15,111,109,31,83,67,14,56,38,37,97,46,7,13,6,118,139,86,
17,118,115,33,86,69,14,58,39,40,101,47,6,14,7,118,142,86,
19,119,113,30,88,68,15,60,41,42,100,48,7,13,7,122,144,89,
20,119,109,34,87,69,15,59,37,41,88,44,7,12,6,119,137,88,
17,111,93,29,80,61,14,51,31,35,69,34,4,7,3,104,115,73,
16,88,70,22,60,46,8,32,20,21,37,21,0,3,1,70,76,48,
9,55,48,12,35,26,5,16,9,7,15,8,0,0,0,35,44,26,
7,25,34,9,16,17,3,8,6,3,7,3,0,0,0,12,27,12,
4,13,23,6,10,13,1,5,4,3,7,3,0,0,0,8,15,7,
2,8,18,2,6,9,0,3,4,2,5,0,0,0,0,5,7,3,
3,6,13,2,1,5,1,0,3,0,2,1,0,0,0,2,2,1,
2,4,9,0,0,2,1,1,1,1,3,0,0,0,0,0,1,0,
3,2,5,0,0,1,1,0,1,2,2,0,0,0,0,0,1,1,
2,0,4,0,0,2,0,0,3,2,5,0,0,0,0,0,0,0,
2,1,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
2,2,5,0,0,1,0,0,1,3,4,1,0,0,0,0,0,0,
1,1,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,
3,0,4,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,
2,1,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,
1,0,5,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,
3,1,5,0,0,1,1,0,1,2,2,0,0,0,0,0,0,0,
2,0,5,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,
0,1,5,0,0,0,1,0,3,3,2,0,0,0,0,0,0,0,
2,0,4,0,0,0,0,0,1,2,4,0,0,0,0,0,1,0,
2,0,4,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,
3,0,5,0,0,0,0,0,2,1,4,1,0,0,0,0,3,0,
2,0,4,0,0,0,1,0,1,1,2,1,0,0,0,1,5,4,
2,0,4,0,0,0,0,0,3,2,5,3,0,0,0,3,9,8,
2,1,4,1,0,1,1,0,1,2,6,9,0,0,0,3,13,9,
1,0,4,0,0,1,0,0,3,8,13,21,0,0,0,7,13,11,
1,0,4,0,0,2,0,0,2,12,19,34,0,0,0,7,15,13,
0,1,4,0,0,0,1,0,2,14,23,47,0,0,0,7,16,15,
1,0,4,1,0,2,1,0,3,18,25,54,0,0,0,8,18,14,
1,1,6,0,0,2,0,0,2,24,27,57,0,0,0,8,17,13,
1,0,3,0,0,1,1,0,2,28,34,63,0,0,0,11,18,15,
2,0,5,0,0,2,1,0,1,34,41,74,0,0,0,10,21,16,
2,0,5,0,0,1,2,0,2,39,51,81,0,0,0,11,22,18,
1,0,4,0,0,0,1,0,4,41,51,83,0,0,0,11,22,19,
1,3,5,0,0,1,1,0,3,44,55,86,0,0,0,12,24,19,
1,3,5,0,0,0,1,0,1,45,56,86,0,0,0,12,24,20,
1,4,6,0,0,1,2,1,1,52,60,89,0,0,0,13,23,21,
2,1,5,0,0,0,1,0,2,53,61,96,0,0,0,14,25,21,
3,3,5,0,0,0,1,1,2,54,64,95,0,0,0,15,26,23,
1,2,4,0,0,1,1,0,3,56,68,99,0,0,0,15,26,22,
2,2,6,0,0,2,1,0,3,58,72,101,0,0,0,15,28,25,
3,4,7,1,0,0,2,0,2,59,74,102,0,0,0,16,30,25,
3,2,6,1,0,0,1,0,3,62,74,104,0,0,0,16,30,24,
4,2,7,0,0,1,1,0,2,61,78,100,0,0,0,17,31,25,
5,1,9,0,0,1,0,0,3,61,80,101,0,0,0,15,30,26,
3,3,8,1,0,2,2,0,2,62,79,98,0,0,0,15,30,24,
4,3,8,0,0,1,1,0,2,59,73,90,0,0,0,15,28,22,
3,3,9,1,0,1,1,1,2,52,65,76,0,0,0,13,24,17,
3,3,10,0,0,3,1,0,1,44,48,50,0,0,0,11,19,11,
4,3,9,1,0,3,1,0,2,33,34,30,0,0,0,9,15,6,
4,2,8,1,0,2,2,0,2,22,24,11,0,0,0,7,12,4,
2,1,6,1,0,2,1,0,2,13,9,4,0,0,0,6,6,4,
4,1,9,0,0,3,2,0,2,6,5,1,0,0,0,5,3,0,
6,1,6,1,0,3,0,0,1,2,3,1,0,0,0,0,2,1,
5,4,8,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,
7,6,9,1,0,2,2,1,1,2,0,0,0,0,0,0,0,0,
